id;code;name;unit;allow_fractional_sale;description
11388;13904;EXTRATOR DE PARAFUSOS C/5 PCS  BRASFORT 8114;Cento;True;EXTRATOR DE PARAFUSOS C/5 PCS  BRASFORT 8114
11398;13915;PARAF SEXT AAT. FLANG 5,5X25;Cento;True;PARAF SEXT AAT. FLANG 5,5X25
11399;13916;PARAF SEXT UNC RI 1X3.1/2;Cento;True;PARAF SEXT UNC RI 1X3.1/2
11400;13917;PARAF SEXT UNC RI 1X2.1/2;Cento;True;PARAF SEXT UNC RI 1X2.1/2
11426;13950;PARAF RODA M12-1,25X26 15-CH19M CROMADO FIAT;Cento;True;PARAF RODA M12-1,25X26 15-CH19M CROMADO FIAT
11427;13951;PARAF RODA M12-1,25X45 -CH19MM CROMADO FIAT;Cento;True;PARAF RODA M12-1,25X45 -CH19MM CROMADO FIAT
11428;13952;PARAF RODA M12-1,5X12X37 - CH17MM -;Cento;True;PARAF RODA M12-1,5X12X37 - CH17MM -
11429;13953;PARAF RD M12-1,5X20,5/41,5-CH17MM -;Cento;True;PARAF RD M12-1,5X20,5/41,5-CH17MM -
11430;13954;PARAF RODA M14-1,5X19/38-CH19MM -ZI;Cento;True;PARAF RODA M14-1,5X19/38-CH19MM -ZI
11431;13955;PORCA RODA CROM. 1/2 - 20UNF - CH13 F1000;Cento;True;PORCA RODA CROM. 1/2 - 20UNF - CH13 F1000
11432;13956;PORCA RODA M12X1,5-CH19MM;Cento;True;PORCA RODA M12X1,5-CH19MM
11433;13957;PORCA RODA M12X1,25-CH19MM  ZM;Cento;True;PORCA RODA M12X1,25-CH19MM  ZM
11434;13958;PORCA RODA CONICA 1/2 20UNF- CH13/16 F250;Cento;True;PORCA RODA CONICA 1/2 20UNF- CH13/16 F250
11435;13959;PORCA RODA CONICA 7/16X14-20 FIOS;Cento;True;PORCA RODA CONICA 7/16X14-20 FIOS
11439;13963;PARAF. MANIPULO 3/8X1 PLASTICO;Cento;True;PARAF. MANIPULO 3/8X1 PLASTICO
11449;13974;PORCA SEXT 3/4-1.1/4 GAL FOGO;Cento;True;PORCA SEXT 3/4-1.1/4 GAL FOGO
11508;14040;REBITE BRANCO 3,2X12;Cento;True;REBITE BRANCO 3,2X12
11513;14048;JOGO PARA PARAFUSAR DE PRECISAO 7 P;Cento;True;JOGO PARA PARAFUSAR DE PRECISAO 7 P
